participant_id,timestamp,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,fatigue_score
P001,2024-12-14 09:00:00,45,20,35,85,40,25,28
P001,2024-12-14 09:30:00,55,25,45,80,50,30,38
P001,2024-12-14 10:00:00,65,30,55,75,60,40,52
P001,2024-12-14 10:30:00,75,35,65,70,70,50,65
P001,2024-12-14 11:00:00,85,40,75,65,80,60,78
P002,2024-12-14 09:15:00,40,15,30,90,35,20,25
P002,2024-12-14 09:45:00,50,20,40,85,45,25,35
P002,2024-12-14 10:15:00,60,25,50,80,55,35,48
P002,2024-12-14 10:45:00,70,30,60,75,65,45,60
P002,2024-12-14 11:15:00,80,35,70,70,75,55,72
P003,2024-12-14 14:00:00,50,25,45,80,50,35,42
P003,2024-12-14 14:30:00,60,30,55,75,60,45,55
P003,2024-12-14 15:00:00,70,35,65,70,70,55,68
P003,2024-12-14 15:30:00,80,40,75,65,80,65,80
P003,2024-12-14 16:00:00,90,45,85,60,90,75,92
